|TrainingName|TotalCost
387|sas certification preparation : base programming for sas 9|250
388|sas certification preparation : base programming for sas 9|250
389|sas certification practice exam: base programming for sas 9|35,109999999999999
390|building the data warehouse, inmon, ed wiley. |55,200000000000003
391|bo designer|1500
392|business objects designer|1500
393|bo designer|1500
394|bo designer training|1500
395|business objects reporter|1000
396|cognos 8 bi - metadata modeling - part 1 |2100
397|bo designer by leena domun|1500
398|bo designer|1500
399|business objects developer|1500
400|gestion des projets informatiques|2730
401|the data warehouse toolkit: the complete guide to dimensional modeling (r. kimball, m. ross, r. merz)|45,939999999999998
402|the data warehouse toolkit: the complete guide to dimensional modeling (r. kimball, m. ross, r. merz)|45,939999999999998
403|a00-206 - sas warehouse technology exam |372
404|spss user day 2006 |250
405|entrepots de données : |49,530000000000001
406|bo designer training|1500
407|modules acceleres en anglais|2855
408|designing etl solution architecture using microsoft sql server 2005 integration services|1200
409|designing etl solution architecture using microsoft sql server 2005 integration services |1200
410|the data warehouse etl toolkit|36,039999999999999
411|sas base training|1500
412|sas base training|1500
413|sas base training|1500
414|spss user day|250
415|sas base|1500
416|sas base training|1500
417|sas certification preparation : base programming for sas 9|250
418|sas certification preparation : base programming for sas 9|250
419|sas certification preparation : base programming for sas 9|250
420|sas base|1500
421|sas base training|1500
422|sas base |1500
423|designing etl solution architecture using microsoft sql server 2005 integration services|1200
424|dimensional modeling in depth - ralph kimball|4020
425|sas base|1500
426|designing etl solution architecture using microsoft sql server 2005 integration services (moc#2795)|700
427|sas-base training|1500
428|sas base certification: self-study.|0
429|business intelligence conference ''''bi city'''' |250
430|designing etl solution architecture using microsoft sql server 2005 integration services (moc#2795)|700
431|sas certification preparation : base programming for sas 9|250
432|sas base programming for sas 9|372
433|oracle bi city conference|250
434|oracle warehouse builder 10g: new features|1241
435|bi city conference|250
436|oracle warehouse builder 10g: administration|1241
437|a00-204 exampractice q & a interactive testing engine |30
438|javapolis|950
439|cognos 8 bi - report authoring part i ? |1500
440|professional c# 2005isbn-10: 0764575341 isbn-13: 978-0764575341 |45,990000000000002
441|introduction to enterprise business intelligence with microstrategy 8|250
442|owb 10g : implementation 1|1861,5
443|owb 10g : implementation ii|1241
444|owb 10g : new features|1241
445|owb 10g : administration|1241
446|cursus frans|155
447|data warehouse etl toolkit|47,990000000000002
448|cours du soir de nl 60h/10sem.|750
449|unix/linux basiscursus|2300
450|self study to prepare for the exam to obtain  the sas base certificate|500
451|self study to prepare for the exam to obtain the sas base certificate. |750
452|owb 10g : implementation 1|1861,5
453|owb 10g : implementation ii|1241
454|applying data mining techniques using sas/enterprise miner 5 |2400
455|designing etl solution architecture using microsoft sql server 2005 integration services (moc#2795)|500
456|building the data warehouse - w. h. inmonjohn wiley & sons; 4th edition (octobre 2005) |55,990000000000002
457|dimensional modeling in depht|3895
458|designing etl solution architecture using|500
459|dimensional modeling in depth|3895
460|discover sas: try sas enterprise intelligence|0
461|discover sas: try sas enterprise intelligence|0
462|prince2 foundation with certification|2323
463|self study to prepare for the exam to obtain the sas base certificate. |125
464|exam: sas base certificate.|247
465|oracle database: using olap (development tools)|1640
466|oracle database: program with olap dml (development tools)|1640
467|cognos ( report net )|1251
468|microsoft data warehouse in depth|3895
469|sas base programming exam for sas 9 (a00-211)|372
470|cll|459
471|certification sas/base|247
472|moc#2794 : designing a business intelligence sollution for the enterprise using microsoft sql server 2005|700
473|advanced data modeling with steve hoberman|1750
474|microsoft data warehouse in depth|1000
475|gestion financièrebruno solnik isbn : 2100495496|31,109999999999999
476|book : a guide to the project management body of knowledge|34
477|modules intensifs |340
478|oracle bi & soa|125
479|mscitp : dba (part 1 - usql5d)|1750
480|mscitp : dba (part 2 - usql5a)|1312
481|cognos 8 bi|4950
482|sas certification prep guide: base programming |101,59999999999999
483|self study sas base exam|500
484|designing etl solution architecture using ms sql server 2005 integration services|0
485|designing etl solution architecture using ms sql server 2005 integration services|0
486|operationeel leidinggeven voor sales managers|1730
487|methodological training in statistical data mining|2500
488|applying data mining techniques using sas/enterprise miner 5|1575
489|oracle bi technology day |125
490|oracle database 10g: using olap|1385
491|oracle9i database: program with olap dml |1385
492|cognos 8 what''s new|1000
493|microstrategy reporting essentials|500
494|microstrategy projectdesign|500
495|tdwi benelux chapter meeting|125
496|microstrategy - report services|1800
497|owb 10g : new features|1241
498|spicing up analytics|125
499|oracle 10g: using olap|1385
500|methodological training in statistical data mining|2505
501|businessobjects 6.5 advanced reporting|450
502|businessobjects desktop intelligence xi r2: advanced report design|655
503|informatica powercenter 8.1.1 basics|3080
504|ict benefits management workshop|2724
505|informatica powercenter 8.1.1 basics|3080
506|sas base programming exam for sas 9 (a00-211)|113
507|self study sas base exam|0
508|beter project management : prince2 vs pmi|790
509|cursus dimensionaal modelleren|2510
510|tdwi conference|2450
511|essbase excel add-in|250
512|powercenter and bo-reporting |500
513|formation excel - avancé|950
514|microsoft data warehouse in depht.|1000
515|prince2 foundation (with certification)|2050
516|marketing & crm analytics:http://www.stichtingmarketing.be/nl/agenda/registration.asp?eventid=380|435
517|informatica powercenter|2150
518|workshop of the belgian datamining community|125
519|the datamining garden|125
520|the datamining garden: invitation workshop|125
521|opn days 2007|250
522|microstrategy desktop: reporting essentials|250
523|microstrategy architect: project design|500
524|dutch course in cll|1200
525|assimil: dutch with easebook + cdsisbn : 2700520963 http://www.assimil.com/|69
526|introduction to the teradata database wbt|299
527|microstrategy report services: document essentials|250
528|xml concepten|650
529|xml basiscursus|1875
530|soa & web services: at your service|650
531|fast track|3250
532|microstrategy desktop: advanced reporting|500
533|microstrategy: certified project designer|0
534|datamigrator training|500
535|datamigrator|1000
536|microstrategy - reporting services |250
537|microstrategy - advanced reporting|1800
538|microstrategy - exam crd|900
539|microstrategy: certified report developer|125
540|microstrategy: prepare certification|125
541|dimensional modeling in depth - kimball university|3695
542|etl architecture in depth - kimball university|2695
543|overnacht hotel hilversum|523,75
544|self-study :microstrategy|0
545|sofitel london |763,88
546|sofitel london|763,88
547|brusselsairlines : bxl - london|161,16
548|brusselsairlines : london - bxl|70,599999999999994
549|fly to orlando : sas global forum 2007|1229,6099999999999
550|hotel overnacht orlando : sas global forum 2007|709,62
551|self study|125
552|microstrategy project designer certification|125
